Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 5/15/2019 4:17:00 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_1370_9    2     2755  0.368  0.374  0.304  0.930  0.848  0.762  0.462  0.679   NS   0.0073
dDocent_Contig_1370_10    2     2755  0.368  0.374  0.304  0.930  0.848  0.762  0.462  0.679   NS   0.0073
dDocent_Contig_1370_131    2     2755  0.377  0.366  0.299  0.933  0.851  0.765  0.469  0.684   NS  -0.0154
dDocent_Contig_1670_33    2     2784  0.888  0.499  0.374  0.876  0.813  0.719  0.376  0.595  ***  -0.2809
dDocent_Contig_1670_71    2     2784  0.995  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3307
dDocent_Contig_1670_102    2     2784  0.951  0.499  0.374  0.876  0.813  0.719  0.376  0.594  ***  -0.3118
dDocent_Contig_1670_107    2     2784  0.434  0.340  0.282  0.942  0.859  0.775  0.494  0.704  ***  -0.1206
dDocent_Contig_1670_145    2     2050  0.549  0.398  0.319  0.921  0.841  0.753  0.441  0.661  ***  -0.1586
dDocent_Contig_1670_147    2     2050  0.549  0.398  0.319  0.921  0.841  0.753  0.441  0.661  ***  -0.1586
dDocent_Contig_1772_93    2     2750  0.395  0.389  0.314  0.924  0.843  0.756  0.449  0.668   NS  -0.0072
dDocent_Contig_1777_152    2     2034  0.524  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0231
dDocent_Contig_1852_69    2     2739  0.518  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0187
dDocent_Contig_1852_70    2     2739  0.348  0.346  0.286  0.940  0.857  0.772  0.487  0.699   NS  -0.0030
dDocent_Contig_1852_116    2     2739  0.394  0.395  0.317  0.922  0.842  0.754  0.444  0.664   NS   0.0005
dDocent_Contig_2157_69    2     2697  0.440  0.436  0.341  0.905  0.830  0.740  0.413  0.635   NS  -0.0046
dDocent_Contig_2157_117    2     2697  0.416  0.404  0.322  0.918  0.839  0.751  0.437  0.657   NS  -0.0145
dDocent_Contig_2157_145    2     2348  0.448  0.456  0.352  0.896  0.824  0.733  0.400  0.622   NS   0.0089
dDocent_Contig_2168_33    2     2730  0.478  0.469  0.359  0.890  0.820  0.728  0.392  0.613   NS  -0.0093
dDocent_Contig_2168_41    2     2730  0.478  0.470  0.359  0.890  0.820  0.728  0.392  0.613   NS  -0.0094
dDocent_Contig_2196_92    2     2765  0.517  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0224
dDocent_Contig_2196_122    2     2765  0.325  0.319  0.268  0.949  0.866  0.784  0.515  0.719   NS  -0.0088
dDocent_Contig_2197_31    2     2735  0.787  0.481  0.365  0.884  0.817  0.725  0.385  0.606  ***  -0.2413
dDocent_Contig_2197_79    2     2735  0.878  0.493  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2802
dDocent_Contig_2197_127    2     2735  0.513  0.382  0.309  0.927  0.846  0.759  0.455  0.673  ***  -0.1467
dDocent_Contig_2197_130    2     2735  0.893  0.494  0.372  0.878  0.814  0.721  0.378  0.597  ***  -0.2871
dDocent_Contig_2197_139    2     2731  0.657  0.441  0.344  0.903  0.828  0.738  0.410  0.632  ***  -0.1963
dDocent_Contig_2365_48    2     2596  0.846  0.488  0.369  0.881  0.816  0.722  0.381  0.601  ***  -0.2680
dDocent_Contig_2365_60    2     2596  0.839  0.487  0.368  0.881  0.816  0.723  0.382  0.602  ***  -0.2652
dDocent_Contig_2365_63    2     2596  0.839  0.487  0.368  0.881  0.816  0.723  0.382  0.602  ***  -0.2652
dDocent_Contig_2365_90    2     2596  0.871  0.492  0.371  0.879  0.815  0.721  0.379  0.599  ***  -0.2783
dDocent_Contig_2365_110    2     2596  0.840  0.487  0.368  0.881  0.816  0.723  0.382  0.602  ***  -0.2657
dDocent_Contig_2365_126    2     2596  0.889  0.494  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2856
dDocent_Contig_2519_10    2     2663  0.787  0.480  0.365  0.885  0.818  0.725  0.385  0.606  ***  -0.2424
dDocent_Contig_2519_75    2     2663  0.781  0.494  0.372  0.878  0.814  0.721  0.378  0.597  ***  -0.2252
dDocent_Contig_2519_103    2     2663  0.786  0.480  0.365  0.885  0.818  0.725  0.386  0.607  ***  -0.2416
dDocent_Contig_2682_72    2     2679  0.508  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0138
dDocent_Contig_2832_124    2     2703  0.511  0.496  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0158
dDocent_Contig_3300_49    2     2751  0.417  0.410  0.326  0.916  0.837  0.748  0.432  0.653   NS  -0.0086
dDocent_Contig_3300_90    2     2751  0.514  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0247
dDocent_Contig_3485_119    2     2736  0.724  0.466  0.358  0.891  0.821  0.729  0.394  0.615  ***  -0.2166
dDocent_Contig_3485_120    2     2736  0.724  0.466  0.358  0.891  0.821  0.729  0.394  0.615  ***  -0.2166
dDocent_Contig_3485_123    2     2736  0.724  0.466  0.358  0.891  0.821  0.729  0.394  0.615  ***  -0.2166
dDocent_Contig_3513_45    2     2721  0.477  0.471  0.360  0.889  0.820  0.728  0.391  0.612   NS  -0.0066
dDocent_Contig_3513_144    2     2680  0.386  0.391  0.315  0.923  0.843  0.755  0.447  0.666   NS   0.0067
dDocent_Contig_3513_175    2     2001  0.342  0.371  0.302  0.931  0.849  0.763  0.464  0.680   NS   0.0414
dDocent_Contig_3525_64    2     2753  0.484  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS  -0.0000
dDocent_Contig_3578_23    2     2765  0.398  0.402  0.321  0.919  0.840  0.751  0.439  0.659   NS   0.0046
dDocent_Contig_3578_40    2     2765  0.418  0.419  0.331  0.912  0.835  0.745  0.426  0.647   NS   0.0001
dDocent_Contig_3578_100    2     2765  0.421  0.414  0.328  0.914  0.836  0.747  0.429  0.650   NS  -0.0090
dDocent_Contig_3687_143    2     2728  0.552  0.418  0.331  0.913  0.835  0.746  0.426  0.648  ***  -0.1384
dDocent_Contig_3921_11    2     2641  0.309  0.356  0.293  0.937  0.854  0.768  0.478  0.691  ***   0.0705
dDocent_Contig_3921_19    2     2641  0.327  0.378  0.307  0.928  0.847  0.760  0.458  0.675  ***   0.0725
dDocent_Contig_4000_21    2     2772  0.415  0.414  0.328  0.914  0.836  0.747  0.429  0.651   NS  -0.0015
dDocent_Contig_4000_67    2     2772  0.473  0.473  0.361  0.888  0.819  0.727  0.389  0.611   NS   0.0008
dDocent_Contig_4000_96    2     2772  0.479  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0200
dDocent_Contig_4224_100    2     2757  0.396  0.388  0.313  0.925  0.844  0.756  0.450  0.668   NS  -0.0099
dDocent_Contig_4224_158    2     2038  0.445  0.421  0.333  0.911  0.834  0.745  0.424  0.645   NS  -0.0275
dDocent_Contig_4453_28    2     2745  0.455  0.497  0.374  0.876  0.813  0.720  0.376  0.595   **   0.0445
dDocent_Contig_4453_92    2     2745  0.308  0.342  0.284  0.942  0.858  0.774  0.491  0.702  ***   0.0520
dDocent_Contig_4453_134    2     2744  0.457  0.499  0.375  0.875  0.813  0.719  0.375  0.594   **   0.0445
dDocent_Contig_4543_109    2     2757  0.355  0.356  0.293  0.937  0.854  0.769  0.478  0.691   NS   0.0019
dDocent_Contig_4769_60    2     2754  0.766  0.494  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2165
dDocent_Contig_4769_62    2     2754  0.766  0.494  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2165
dDocent_Contig_4769_164    2     2032  0.731  0.487  0.369  0.881  0.816  0.723  0.382  0.602  ***  -0.2000
dDocent_Contig_4772_30    2     2737  0.367  0.387  0.312  0.925  0.844  0.757  0.451  0.669   NS   0.0261
dDocent_Contig_4772_104    2     2737  0.296  0.323  0.271  0.948  0.864  0.782  0.510  0.716    *   0.0442
dDocent_Contig_4894_13    2     2742  0.384  0.385  0.311  0.926  0.845  0.758  0.452  0.671   NS   0.0015
dDocent_Contig_4894_40    2     2742  0.449  0.462  0.355  0.893  0.822  0.731  0.396  0.618   NS   0.0149
dDocent_Contig_4896_46    2     2788  0.813  0.485  0.367  0.883  0.816  0.724  0.383  0.603  ***  -0.2531
dDocent_Contig_4896_76    2     2788  0.801  0.482  0.366  0.884  0.817  0.724  0.385  0.605  ***  -0.2485
dDocent_Contig_4896_130    2     2788  0.868  0.499  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.2696
dDocent_Contig_4921_125    2     2740  0.400  0.389  0.313  0.924  0.843  0.756  0.449  0.668   NS  -0.0139
dDocent_Contig_4921_150    2     2041  0.513  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0128
dDocent_Contig_5045_45    2     2717  0.357  0.355  0.292  0.937  0.854  0.769  0.479  0.692   NS  -0.0030
dDocent_Contig_5412_112    2     2655  0.425  0.424  0.334  0.910  0.833  0.744  0.422  0.644   NS  -0.0016
dDocent_Contig_5412_127    2     2655  0.418  0.413  0.328  0.915  0.836  0.747  0.430  0.651   NS  -0.0058
dDocent_Contig_5463_72    2     2667  0.477  0.484  0.367  0.883  0.816  0.724  0.383  0.604   NS   0.0073
dDocent_Contig_5463_134    2     2662  0.479  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS   0.0053
dDocent_Contig_5463_148    2     2052  0.325  0.347  0.286  0.940  0.857  0.772  0.487  0.699   NS   0.0319
dDocent_Contig_5490_61    2     2729  0.501  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0070
dDocent_Contig_5518_65    2     2706  0.414  0.436  0.341  0.905  0.829  0.739  0.413  0.635   NS   0.0260
dDocent_Contig_5518_121    2     2706  0.443  0.457  0.353  0.895  0.824  0.732  0.399  0.621   NS   0.0163
dDocent_Contig_5565_25    2     2771  0.341  0.329  0.275  0.946  0.863  0.780  0.504  0.712   NS  -0.0178
dDocent_Contig_5715_80    2     2745  0.519  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0191
dDocent_Contig_6058_12    2     2715  0.501  0.475  0.362  0.887  0.819  0.727  0.389  0.610   NS  -0.0271
dDocent_Contig_6058_120    2     2714  0.501  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0055
dDocent_Contig_6058_126    2     2714  0.502  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0051
dDocent_Contig_6097_96    2     2765  0.427  0.417  0.330  0.913  0.835  0.746  0.427  0.648   NS  -0.0120
dDocent_Contig_6301_21    2     2681  0.490  0.465  0.357  0.892  0.822  0.730  0.395  0.616   NS  -0.0264
dDocent_Contig_6301_32    2     2681  0.483  0.455  0.351  0.897  0.824  0.733  0.401  0.623   NS  -0.0301
dDocent_Contig_6301_33    2     2681  0.490  0.465  0.357  0.892  0.822  0.730  0.395  0.616   NS  -0.0267
dDocent_Contig_6319_19    2     2782  0.992  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3296
dDocent_Contig_6319_34    2     2782  0.984  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3261
dDocent_Contig_6319_41    2     2782  0.987  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3272
dDocent_Contig_6319_78    2     2782  0.992  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3297
dDocent_Contig_6319_116    2     2782  0.984  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3261
dDocent_Contig_6381_21    2     2701  0.939  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3052
dDocent_Contig_6381_27    2     2701  0.940  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3053
dDocent_Contig_6381_36    2     2701  0.939  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3048
dDocent_Contig_6381_66    2     2701  0.931  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3012
dDocent_Contig_6381_97    2     2701  0.448  0.351  0.289  0.938  0.855  0.771  0.483  0.695  ***  -0.1206
dDocent_Contig_6381_170    2     2016  0.942  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3068
dDocent_Contig_6495_115    2     2717  0.963  0.499  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3169
dDocent_Contig_6510_19    2     2763  0.457  0.452  0.350  0.898  0.825  0.734  0.403  0.625   NS  -0.0061
dDocent_Contig_6510_42    2     2763  0.507  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0090
dDocent_Contig_6510_48    2     2763  0.508  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0105
dDocent_Contig_6548_24    2     2596  0.446  0.347  0.287  0.940  0.857  0.772  0.487  0.698  ***  -0.1242
dDocent_Contig_6548_66    2     2596  0.563  0.405  0.323  0.918  0.839  0.750  0.436  0.657  ***  -0.1632
dDocent_Contig_6669_59    2     2728  0.382  0.359  0.295  0.936  0.853  0.767  0.475  0.689   NS  -0.0308
dDocent_Contig_6671_40    2     2596  0.670  0.446  0.346  0.901  0.827  0.736  0.407  0.629  ***  -0.2010
dDocent_Contig_6689_144    2     2675  0.498  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0009
dDocent_Contig_6689_172    2     2038  0.504  0.497  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0071
dDocent_Contig_6722_49    2     2709  0.301  0.333  0.278  0.945  0.861  0.778  0.500  0.708  ***   0.0503
dDocent_Contig_6722_121    2     2709  0.469  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0322
dDocent_Contig_6926_73    2     2699  0.446  0.423  0.334  0.910  0.833  0.744  0.422  0.644   NS  -0.0262
dDocent_Contig_6926_75    2     2699  0.483  0.469  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0151
dDocent_Contig_6926_79    2     2699  0.483  0.469  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0151
dDocent_Contig_6926_134    2     2697  0.491  0.488  0.369  0.881  0.816  0.723  0.381  0.602   NS  -0.0031
dDocent_Contig_7037_101    2     2759  0.462  0.465  0.357  0.892  0.822  0.730  0.395  0.616   NS   0.0022
dDocent_Contig_7072_24    2     2775  0.467  0.456  0.352  0.896  0.824  0.733  0.400  0.622   NS  -0.0114
dDocent_Contig_7079_33    2     2735  0.495  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0045
dDocent_Contig_7079_34    2     2735  0.495  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0045
dDocent_Contig_7079_44    2     2735  0.489  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0104
dDocent_Contig_7079_50    2     2735  0.489  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0104
dDocent_Contig_7079_107    2     2735  0.399  0.398  0.319  0.921  0.840  0.753  0.441  0.661   NS  -0.0002
dDocent_Contig_7079_162    2     2032  0.476  0.485  0.367  0.882  0.816  0.723  0.383  0.603   NS   0.0094
dDocent_Contig_7118_33    2     2731  0.473  0.458  0.353  0.895  0.823  0.732  0.399  0.621   NS  -0.0161
dDocent_Contig_7118_39    2     2731  0.472  0.458  0.353  0.895  0.823  0.732  0.399  0.621   NS  -0.0149
dDocent_Contig_7118_74    2     2731  0.505  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0046
dDocent_Contig_7182_105    2     2751  0.403  0.399  0.320  0.920  0.840  0.752  0.441  0.661   NS  -0.0053
dDocent_Contig_7302_32    2     2721  0.896  0.495  0.372  0.878  0.814  0.720  0.378  0.597  ***  -0.2885
dDocent_Contig_7302_37    2     2721  0.885  0.494  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2842
dDocent_Contig_7302_65    2     2721  0.991  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3290
dDocent_Contig_7302_158    2     2013  0.971  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3201
dDocent_Contig_7414_8    2     2697  0.408  0.407  0.324  0.917  0.838  0.750  0.435  0.655   NS  -0.0014
dDocent_Contig_7628_94    2     2699  0.509  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0103
dDocent_Contig_7680_10    2     2745  0.346  0.355  0.292  0.937  0.854  0.769  0.479  0.693   NS   0.0128
dDocent_Contig_7680_22    2     2745  0.501  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0027
dDocent_Contig_7680_97    2     2745  0.497  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0005
dDocent_Contig_7680_114    2     2744  0.497  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0008
dDocent_Contig_7704_12    2     2755  0.656  0.448  0.348  0.900  0.826  0.735  0.405  0.627  ***  -0.1886
dDocent_Contig_7704_74    2     2755  0.693  0.493  0.371  0.879  0.814  0.721  0.379  0.598  ***  -0.1688
dDocent_Contig_7704_166    2     2042  0.597  0.421  0.333  0.911  0.834  0.744  0.424  0.645  ***  -0.1728
dDocent_Contig_7790_25    2     2736  0.468  0.463  0.356  0.893  0.822  0.731  0.396  0.618   NS  -0.0058
dDocent_Contig_7790_109    2     2736  0.503  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0042
dDocent_Contig_7790_111    2     2736  0.334  0.339  0.282  0.943  0.859  0.775  0.494  0.704   NS   0.0075
dDocent_Contig_7855_72    2     2669  0.306  0.338  0.281  0.943  0.860  0.776  0.495  0.705  ***   0.0502
dDocent_Contig_7855_93    2     2669  0.349  0.387  0.312  0.925  0.844  0.757  0.451  0.669  ***   0.0521
dDocent_Contig_7922_20    2     2729  0.384  0.406  0.324  0.918  0.838  0.750  0.435  0.656   NS   0.0276
dDocent_Contig_7922_116    2     2729  0.420  0.456  0.352  0.896  0.824  0.733  0.400  0.622    *   0.0409
dDocent_Contig_7922_120    2     2729  0.389  0.406  0.323  0.918  0.838  0.750  0.435  0.656   NS   0.0208
dDocent_Contig_7922_135    2     2721  0.398  0.409  0.325  0.916  0.837  0.749  0.433  0.654   NS   0.0138
dDocent_Contig_7971_104    2     2709  0.372  0.371  0.302  0.931  0.849  0.763  0.465  0.681   NS  -0.0015
dDocent_Contig_7971_131    2     2706  0.322  0.322  0.270  0.948  0.865  0.782  0.511  0.717   NS   0.0007
dDocent_Contig_7971_165    2     2025  0.360  0.367  0.299  0.933  0.850  0.764  0.468  0.684   NS   0.0091
dDocent_Contig_8010_116    2     2739  0.359  0.375  0.305  0.930  0.848  0.761  0.461  0.678   NS   0.0223
dDocent_Contig_8010_133    2     2736  0.344  0.357  0.294  0.936  0.853  0.768  0.477  0.690   NS   0.0192
dDocent_Contig_8079_64    2     2751  0.353  0.341  0.283  0.942  0.859  0.775  0.492  0.703   NS  -0.0166
dDocent_Contig_8079_92    2     2751  0.344  0.342  0.283  0.942  0.858  0.774  0.492  0.702   NS  -0.0037
dDocent_Contig_8079_93    2     2751  0.344  0.342  0.283  0.942  0.858  0.774  0.492  0.702   NS  -0.0037
dDocent_Contig_8223_61    2     2748  0.444  0.444  0.345  0.902  0.827  0.737  0.408  0.630   NS  -0.0005
dDocent_Contig_8223_82    2     2748  0.466  0.455  0.352  0.896  0.824  0.733  0.400  0.623   NS  -0.0119
dDocent_Contig_8378_16    2     2752  0.415  0.399  0.320  0.920  0.840  0.752  0.441  0.660   NS  -0.0197
dDocent_Contig_8378_100    2     2752  0.505  0.496  0.373  0.877  0.814  0.720  0.377  0.596   NS  -0.0091
dDocent_Contig_8507_165    2     2030  0.988  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3276
dDocent_Contig_8535_78    2     2698  0.346  0.346  0.286  0.940  0.857  0.773  0.488  0.699   NS  -0.0005
dDocent_Contig_8543_22    2     2764  0.432  0.340  0.282  0.942  0.859  0.775  0.494  0.704  ***  -0.1193
dDocent_Contig_8543_136    2     2756  0.573  0.412  0.327  0.915  0.836  0.748  0.431  0.652  ***  -0.1636
dDocent_Contig_8543_145    2     2404  0.383  0.328  0.274  0.946  0.863  0.780  0.505  0.712  ***  -0.0771
dDocent_Contig_8749_75    2     2755  0.432  0.425  0.334  0.910  0.833  0.743  0.421  0.643   NS  -0.0088
dDocent_Contig_8749_150    2     2037  0.336  0.344  0.285  0.941  0.858  0.773  0.490  0.700   NS   0.0113
dDocent_Contig_9433_128    2     2721  0.497  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS  -0.0056
dDocent_Contig_9854_121    2     2732  0.477  0.486  0.368  0.882  0.816  0.723  0.383  0.603   NS   0.0089
dDocent_Contig_9854_150    2     2035  0.468  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0327
dDocent_Contig_9912_29    2     2696  0.495  0.497  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0022
dDocent_Contig_10093_87    2     2712  0.795  0.497  0.373  0.877  0.813  0.720  0.377  0.596  ***  -0.2306
dDocent_Contig_10093_90    2     2712  0.413  0.338  0.281  0.943  0.860  0.776  0.496  0.705  ***  -0.1007
dDocent_Contig_10093_125    2     2709  0.784  0.498  0.374  0.876  0.813  0.720  0.376  0.595  ***  -0.2238
dDocent_Contig_10093_137    2     2666  0.784  0.497  0.373  0.877  0.813  0.720  0.377  0.596  ***  -0.2238
dDocent_Contig_10330_121    2     2720  0.504  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0146
dDocent_Contig_10460_87    2     2672  0.493  0.499  0.374  0.876  0.813  0.719  0.376  0.594   NS   0.0060
dDocent_Contig_10460_109    2     2672  0.485  0.496  0.373  0.877  0.814  0.720  0.377  0.596   NS   0.0111
dDocent_Contig_10489_23    2     2730  0.468  0.464  0.356  0.892  0.822  0.730  0.395  0.617   NS  -0.0047
dDocent_Contig_10489_128    2     2732  0.563  0.493  0.371  0.878  0.814  0.721  0.379  0.598  ***  -0.0659
dDocent_Contig_10661_136    2     2665  0.890  0.495  0.372  0.878  0.814  0.720  0.378  0.597  ***  -0.2855
dDocent_Contig_10665_66    2     2676  0.518  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0180
dDocent_Contig_10665_81    2     2676  0.504  0.486  0.368  0.882  0.816  0.723  0.382  0.603   NS  -0.0181
dDocent_Contig_10684_79    2     2684  0.573  0.409  0.325  0.916  0.837  0.749  0.433  0.654  ***  -0.1666
dDocent_Contig_10684_133    2     2682  0.601  0.421  0.332  0.911  0.834  0.745  0.424  0.646  ***  -0.1763
dDocent_Contig_10848_43    2     2747  0.394  0.319  0.268  0.949  0.866  0.784  0.515  0.719  ***  -0.1054
dDocent_Contig_10848_69    2     2747  0.815  0.483  0.367  0.883  0.817  0.724  0.384  0.604  ***  -0.2552
dDocent_Contig_10848_111    2     2747  0.871  0.498  0.374  0.876  0.813  0.719  0.376  0.595  ***  -0.2722
dDocent_Contig_10848_136    2     2746  0.384  0.323  0.271  0.948  0.865  0.782  0.511  0.716  ***  -0.0861
dDocent_Contig_10932_64    2     2724  0.387  0.384  0.310  0.926  0.845  0.758  0.453  0.671   NS  -0.0033
dDocent_Contig_10932_102    2     2724  0.488  0.484  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0036
dDocent_Contig_10932_105    2     2724  0.488  0.484  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0036
dDocent_Contig_10932_127    2     2724  0.455  0.461  0.355  0.894  0.823  0.731  0.397  0.619   NS   0.0067
dDocent_Contig_11221_36    2     2690  0.441  0.452  0.350  0.898  0.825  0.734  0.403  0.625   NS   0.0118
dDocent_Contig_11221_83    2     2690  0.448  0.460  0.354  0.894  0.823  0.732  0.398  0.620   NS   0.0131
dDocent_Contig_11237_23    2     2774  0.510  0.380  0.308  0.928  0.846  0.759  0.456  0.674  ***  -0.1453
dDocent_Contig_11237_121    2     2774  0.666  0.444  0.346  0.901  0.827  0.737  0.407  0.630  ***  -0.1993
dDocent_Contig_11237_134    2     2774  0.430  0.338  0.281  0.943  0.860  0.776  0.496  0.705  ***  -0.1194
dDocent_Contig_11237_146    2     2049  0.592  0.417  0.330  0.913  0.835  0.746  0.427  0.648  ***  -0.1732
dDocent_Contig_11237_156    2     2049  0.658  0.442  0.344  0.902  0.828  0.737  0.409  0.631  ***  -0.1965
