Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 5/22/2019 2:45:57 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_1370_9    2     2745  0.370  0.375  0.305  0.930  0.848  0.761  0.461  0.678   NS   0.0057
dDocent_Contig_1370_10    2     2745  0.370  0.375  0.305  0.930  0.848  0.761  0.461  0.678   NS   0.0057
dDocent_Contig_1370_131    2     2745  0.376  0.365  0.298  0.933  0.851  0.765  0.470  0.685   NS  -0.0142
dDocent_Contig_1370_139    2     2741  0.174  0.177  0.162  0.984  0.919  0.858  0.693  0.834   NS   0.0094
dDocent_Contig_1670_33    2     2769  0.888  0.499  0.374  0.876  0.813  0.719  0.376  0.595  ***  -0.2811
dDocent_Contig_1670_71    2     2769  0.995  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3307
dDocent_Contig_1670_102    2     2769  0.951  0.499  0.374  0.876  0.813  0.719  0.376  0.594  ***  -0.3117
dDocent_Contig_1670_107    2     2769  0.434  0.340  0.282  0.942  0.859  0.775  0.494  0.703  ***  -0.1207
dDocent_Contig_1670_114    2     2769  0.299  0.255  0.222  0.968  0.889  0.814  0.588  0.770  ***  -0.0776
dDocent_Contig_1670_118    2     2769  0.001  0.001  0.001  1.000  0.999  0.999  0.998  0.999   ND  -0.0000
dDocent_Contig_1772_93    2     2735  0.395  0.390  0.314  0.924  0.843  0.756  0.448  0.667   NS  -0.0060
dDocent_Contig_1772_128    2     2735  0.086  0.085  0.081  0.996  0.959  0.924  0.841  0.918   NS  -0.0060
dDocent_Contig_1772_136    2     2726  0.079  0.080  0.077  0.997  0.962  0.928  0.849  0.922   ND   0.0057
dDocent_Contig_1852_41    2     2728  0.116  0.116  0.109  0.993  0.945  0.899  0.788  0.889   NS   0.0017
dDocent_Contig_1852_67    2     2728  0.011  0.011  0.011  1.000  0.995  0.990  0.979  0.989   ND  -0.0003
dDocent_Contig_1852_69    2     2728  0.519  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0192
dDocent_Contig_1852_70    2     2728  0.350  0.347  0.287  0.940  0.857  0.772  0.487  0.698   NS  -0.0042
dDocent_Contig_1852_75    2     2728  0.151  0.149  0.138  0.989  0.931  0.877  0.736  0.860   NS  -0.0093
dDocent_Contig_1852_116    2     2728  0.395  0.395  0.317  0.922  0.842  0.754  0.444  0.664   NS  -0.0004
dDocent_Contig_2157_49    2     2686  0.069  0.070  0.067  0.998  0.966  0.936  0.868  0.932   ND   0.0081
dDocent_Contig_2157_59    2     2686  0.083  0.083  0.080  0.997  0.960  0.925  0.844  0.920   NS  -0.0002
dDocent_Contig_2157_69    2     2686  0.439  0.436  0.341  0.905  0.830  0.740  0.413  0.636   NS  -0.0043
dDocent_Contig_2157_117    2     2686  0.417  0.404  0.323  0.918  0.839  0.750  0.437  0.657   NS  -0.0159
dDocent_Contig_2157_124    2     2686  0.087  0.087  0.083  0.996  0.959  0.922  0.838  0.916   NS  -0.0023
dDocent_Contig_2168_33    2     2719  0.479  0.469  0.359  0.890  0.820  0.729  0.392  0.613   NS  -0.0102
dDocent_Contig_2168_41    2     2719  0.479  0.470  0.359  0.890  0.820  0.728  0.392  0.613   NS  -0.0103
dDocent_Contig_2168_115    2     2719  0.133  0.135  0.126  0.991  0.937  0.886  0.757  0.872   NS   0.0096
dDocent_Contig_2196_92    2     2751  0.517  0.495  0.372  0.878  0.814  0.720  0.378  0.597   NS  -0.0222
dDocent_Contig_2196_114    2     2751  0.217  0.216  0.193  0.977  0.904  0.835  0.637  0.801   NS  -0.0015
dDocent_Contig_2196_122    2     2751  0.327  0.320  0.269  0.949  0.866  0.783  0.513  0.718   NS  -0.0103
dDocent_Contig_2197_7    2     2722  0.289  0.248  0.217  0.969  0.892  0.818  0.597  0.775  ***  -0.0745
dDocent_Contig_2197_31    2     2722  0.787  0.481  0.365  0.884  0.817  0.725  0.385  0.606  ***  -0.2415
dDocent_Contig_2197_47    2     2722  0.118  0.111  0.105  0.994  0.947  0.903  0.796  0.893   NS  -0.0215
dDocent_Contig_2197_60    2     2722  0.301  0.256  0.223  0.967  0.889  0.814  0.587  0.769  ***  -0.0781
dDocent_Contig_2197_79    2     2722  0.879  0.494  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2809
dDocent_Contig_2197_90    2     2722  0.250  0.219  0.195  0.976  0.902  0.833  0.634  0.799  ***  -0.0630
dDocent_Contig_2197_127    2     2722  0.513  0.382  0.309  0.927  0.846  0.759  0.455  0.673  ***  -0.1467
dDocent_Contig_2197_130    2     2722  0.892  0.494  0.372  0.878  0.814  0.721  0.378  0.597  ***  -0.2869
dDocent_Contig_2197_139    2     2718  0.657  0.441  0.344  0.903  0.828  0.738  0.410  0.632  ***  -0.1964
dDocent_Contig_2832_124    2     2694  0.510  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0146
dDocent_Contig_3300_49    2     2739  0.417  0.410  0.326  0.916  0.837  0.749  0.433  0.653   NS  -0.0089
dDocent_Contig_3300_50    2     2739  0.011  0.011  0.011  1.000  0.995  0.989  0.978  0.989   ND  -0.0003
dDocent_Contig_3300_52    2     2739  0.130  0.128  0.120  0.992  0.940  0.891  0.768  0.878   NS  -0.0084
dDocent_Contig_3300_78    2     2739  0.304  0.293  0.250  0.957  0.875  0.796  0.543  0.739   NS  -0.0183
dDocent_Contig_3300_87    2     2739  0.139  0.133  0.124  0.991  0.938  0.887  0.761  0.874   NS  -0.0242
dDocent_Contig_3300_90    2     2739  0.516  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0260
dDocent_Contig_3485_119    2     2720  0.724  0.466  0.357  0.892  0.821  0.730  0.394  0.616  ***  -0.2173
dDocent_Contig_3485_120    2     2720  0.724  0.466  0.357  0.892  0.821  0.730  0.394  0.616  ***  -0.2173
dDocent_Contig_3485_123    2     2720  0.724  0.466  0.357  0.892  0.821  0.730  0.394  0.616  ***  -0.2173
dDocent_Contig_3513_17    2     2713  0.209  0.219  0.195  0.976  0.903  0.833  0.634  0.799   NS   0.0218
dDocent_Contig_3513_45    2     2713  0.478  0.471  0.360  0.889  0.820  0.728  0.391  0.612   NS  -0.0067
dDocent_Contig_3513_110    2     2713  0.101  0.107  0.102  0.994  0.949  0.906  0.802  0.897   NS   0.0326
dDocent_Contig_3513_114    2     2713  0.097  0.103  0.097  0.995  0.951  0.910  0.811  0.901   NS   0.0298
dDocent_Contig_3525_23    2     2739  0.056  0.054  0.053  0.999  0.974  0.949  0.896  0.947   ND  -0.0061
dDocent_Contig_3525_64    2     2739  0.483  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS   0.0016
dDocent_Contig_3578_10    2     2750  0.268  0.262  0.228  0.966  0.886  0.810  0.579  0.763   NS  -0.0114
dDocent_Contig_3578_11    2     2750  0.183  0.187  0.169  0.983  0.915  0.852  0.679  0.826   NS   0.0099
dDocent_Contig_3578_23    2     2750  0.399  0.402  0.321  0.919  0.840  0.751  0.439  0.659   NS   0.0029
dDocent_Contig_3578_40    2     2750  0.419  0.419  0.331  0.912  0.834  0.745  0.426  0.647   NS  -0.0007
dDocent_Contig_3578_53    2     2750  0.025  0.025  0.024  1.000  0.988  0.976  0.951  0.975   ND  -0.0014
dDocent_Contig_3578_100    2     2750  0.422  0.414  0.328  0.914  0.836  0.747  0.429  0.650   NS  -0.0099
dDocent_Contig_3578_134    2     2750  0.200  0.195  0.176  0.981  0.912  0.847  0.668  0.820   NS  -0.0126
dDocent_Contig_3687_143    2     2714  0.551  0.417  0.330  0.913  0.835  0.746  0.427  0.648  ***  -0.1383
dDocent_Contig_4000_21    2     2756  0.415  0.414  0.328  0.914  0.836  0.747  0.429  0.650   NS  -0.0009
dDocent_Contig_4000_55    2     2756  0.066  0.065  0.063  0.998  0.969  0.940  0.877  0.937   ND  -0.0116
dDocent_Contig_4000_67    2     2756  0.473  0.474  0.361  0.888  0.819  0.727  0.389  0.611   NS   0.0007
dDocent_Contig_4000_68    3     2756  0.256  0.260  0.239  0.966  0.872  0.778  0.569  0.762   NS   0.0047
dDocent_Contig_4000_96    2     2756  0.480  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0198
dDocent_Contig_4000_111    2     2756  0.147  0.147  0.136  0.989  0.932  0.878  0.739  0.861   NS  -0.0012
dDocent_Contig_4224_100    2     2744  0.396  0.389  0.313  0.924  0.843  0.756  0.449  0.668   NS  -0.0089
dDocent_Contig_4453_28    2     2727  0.454  0.498  0.374  0.876  0.813  0.720  0.376  0.595   **   0.0457
dDocent_Contig_4453_36    2     2727  0.205  0.221  0.196  0.976  0.902  0.832  0.632  0.798   NS   0.0370
dDocent_Contig_4453_92    2     2727  0.308  0.342  0.284  0.941  0.858  0.774  0.491  0.702  ***   0.0528
dDocent_Contig_4453_134    2     2726  0.457  0.499  0.375  0.875  0.813  0.719  0.375  0.594    *   0.0440
dDocent_Contig_4543_20    2     2746  0.184  0.184  0.167  0.983  0.916  0.853  0.682  0.828   NS   0.0021
dDocent_Contig_4543_109    2     2746  0.355  0.356  0.292  0.937  0.854  0.769  0.479  0.692   NS   0.0002
dDocent_Contig_4543_123    2     2746  0.043  0.043  0.042  0.999  0.979  0.959  0.917  0.958   ND   0.0057
dDocent_Contig_4543_128    2     2746  0.047  0.049  0.047  0.999  0.976  0.954  0.906  0.952   ND   0.0175
dDocent_Contig_4769_60    2     2741  0.767  0.493  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2169
dDocent_Contig_4769_62    2     2741  0.767  0.493  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2169
dDocent_Contig_4769_78    3     2741  0.602  0.425  0.336  0.910  0.832  0.741  0.420  0.643  ***  -0.1736
dDocent_Contig_4772_21    3     2720  0.014  0.016  0.016  1.000  0.992  0.984  0.967  0.984   ND   0.0586
dDocent_Contig_4772_25    2     2720  0.085  0.093  0.089  0.996  0.956  0.917  0.827  0.910    *   0.0433
dDocent_Contig_4772_30    2     2720  0.367  0.387  0.312  0.925  0.844  0.757  0.451  0.669   NS   0.0257
dDocent_Contig_4772_104    2     2720  0.298  0.325  0.272  0.947  0.864  0.781  0.509  0.715    *   0.0434
dDocent_Contig_4772_134    2     2720  0.153  0.167  0.153  0.986  0.923  0.864  0.707  0.843    *   0.0458
dDocent_Contig_4772_142    2     2716  0.055  0.060  0.058  0.998  0.971  0.944  0.885  0.941   ND   0.0471
dDocent_Contig_4894_13    2     2732  0.385  0.385  0.311  0.926  0.844  0.757  0.452  0.670   NS   0.0007
dDocent_Contig_4894_40    2     2732  0.449  0.463  0.356  0.893  0.822  0.731  0.396  0.618   NS   0.0148
dDocent_Contig_4894_75    2     2732  0.068  0.071  0.068  0.997  0.966  0.935  0.866  0.931   ND   0.0174
dDocent_Contig_4894_87    2     2732  0.266  0.271  0.234  0.963  0.883  0.806  0.568  0.756   NS   0.0088
dDocent_Contig_4894_106    2     2732  0.050  0.050  0.049  0.999  0.976  0.953  0.904  0.951   ND   0.0015
dDocent_Contig_4894_109    2     2732  0.260  0.266  0.230  0.965  0.885  0.809  0.575  0.761   NS   0.0100
dDocent_Contig_4896_46    2     2772  0.814  0.485  0.367  0.883  0.816  0.724  0.383  0.603  ***  -0.2535
dDocent_Contig_4896_76    2     2772  0.801  0.482  0.366  0.884  0.817  0.724  0.385  0.605  ***  -0.2487
dDocent_Contig_4896_130    2     2772  0.868  0.499  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.2696
dDocent_Contig_4921_97    2     2726  0.019  0.019  0.019  1.000  0.990  0.981  0.962  0.981   ND   0.0143
dDocent_Contig_4921_100    2     2726  0.208  0.210  0.188  0.978  0.906  0.838  0.646  0.807   NS   0.0040
dDocent_Contig_4921_125    2     2726  0.399  0.389  0.313  0.925  0.843  0.756  0.449  0.668   NS  -0.0130
dDocent_Contig_5045_9    2     2703  0.218  0.212  0.190  0.978  0.905  0.837  0.643  0.805   NS  -0.0126
dDocent_Contig_5045_28    2     2703  0.154  0.152  0.140  0.988  0.930  0.874  0.731  0.857   NS  -0.0084
dDocent_Contig_5045_45    2     2703  0.359  0.357  0.293  0.936  0.854  0.768  0.478  0.691   NS  -0.0038
dDocent_Contig_5045_83    2     2703  0.256  0.256  0.223  0.967  0.889  0.814  0.587  0.769   NS  -0.0002
dDocent_Contig_5490_51    2     2717  0.044  0.045  0.044  0.999  0.978  0.957  0.912  0.955   ND   0.0127
dDocent_Contig_5490_61    2     2717  0.499  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0055
dDocent_Contig_5490_66    2     2717  0.114  0.118  0.111  0.993  0.945  0.898  0.785  0.888   NS   0.0169
dDocent_Contig_5490_139    2     2715  0.074  0.073  0.071  0.997  0.965  0.933  0.861  0.929   ND  -0.0047
dDocent_Contig_5490_144    2     2672  0.291  0.291  0.249  0.958  0.876  0.796  0.545  0.741   NS  -0.0005
dDocent_Contig_5518_24    2     2696  0.066  0.068  0.065  0.998  0.967  0.938  0.872  0.934   ND   0.0150
dDocent_Contig_5518_65    2     2696  0.414  0.437  0.341  0.905  0.829  0.739  0.413  0.635   NS   0.0269
dDocent_Contig_5518_121    2     2696  0.441  0.457  0.353  0.895  0.824  0.732  0.399  0.621   NS   0.0177
dDocent_Contig_5518_142    2     2686  0.048  0.053  0.052  0.999  0.974  0.950  0.898  0.948   ND   0.0512
dDocent_Contig_5565_23    2     2756  0.074  0.074  0.071  0.997  0.965  0.933  0.861  0.928   ND  -0.0002
dDocent_Contig_5565_25    2     2756  0.340  0.329  0.275  0.946  0.863  0.780  0.504  0.712   NS  -0.0170
dDocent_Contig_5565_117    2     2756  0.206  0.217  0.194  0.976  0.903  0.834  0.636  0.800   NS   0.0267
dDocent_Contig_5565_119    2     2756  0.043  0.044  0.043  0.999  0.979  0.959  0.916  0.957   ND   0.0052
dDocent_Contig_5715_41    2     2734  0.113  0.111  0.105  0.994  0.948  0.903  0.797  0.894   NS  -0.0114
dDocent_Contig_5715_57    2     2734  0.040  0.041  0.040  0.999  0.980  0.961  0.921  0.960   ND   0.0165
dDocent_Contig_5715_60    2     2734  0.060  0.058  0.056  0.998  0.972  0.946  0.889  0.943   ND  -0.0069
dDocent_Contig_5715_80    2     2734  0.518  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0183
dDocent_Contig_6058_12    2     2701  0.502  0.474  0.362  0.888  0.819  0.727  0.389  0.610   NS  -0.0282
dDocent_Contig_6058_120    2     2700  0.500  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0049
dDocent_Contig_6058_126    2     2700  0.502  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0050
dDocent_Contig_6097_96    2     2751  0.427  0.417  0.330  0.913  0.835  0.746  0.427  0.648   NS  -0.0122
dDocent_Contig_6319_19    2     2762  0.992  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3296
dDocent_Contig_6319_31    2     2762  0.140  0.131  0.122  0.991  0.939  0.889  0.764  0.876   NS  -0.0279
dDocent_Contig_6319_34    2     2762  0.984  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3261
dDocent_Contig_6319_40    2     2762  0.390  0.315  0.265  0.950  0.867  0.786  0.519  0.722  ***  -0.1059
dDocent_Contig_6319_41    2     2762  0.987  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3272
dDocent_Contig_6319_78    2     2762  0.992  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3297
dDocent_Contig_6319_116    2     2762  0.984  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3260
dDocent_Contig_6381_21    2     2685  0.941  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3059
dDocent_Contig_6381_27    2     2685  0.941  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3061
dDocent_Contig_6381_36    2     2685  0.940  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3057
dDocent_Contig_6381_66    2     2685  0.932  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3018
dDocent_Contig_6381_97    2     2685  0.447  0.351  0.289  0.938  0.855  0.771  0.483  0.695  ***  -0.1205
dDocent_Contig_6495_115    2     2710  0.962  0.499  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3167
dDocent_Contig_6510_19    2     2745  0.457  0.452  0.350  0.898  0.825  0.734  0.403  0.625   NS  -0.0059
dDocent_Contig_6510_42    2     2745  0.506  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0087
dDocent_Contig_6510_48    2     2745  0.508  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0105
dDocent_Contig_6510_57    2     2745  0.001  0.001  0.001  1.000  1.000  0.999  0.999  0.999   ND  -0.0000
dDocent_Contig_6510_62    2     2745  0.003  0.003  0.003  1.000  0.999  0.997  0.995  0.997   ND  -0.0000
dDocent_Contig_6510_97    2     2745  0.231  0.229  0.203  0.974  0.899  0.828  0.621  0.791   NS  -0.0057
dDocent_Contig_6669_59    2     2714  0.382  0.359  0.294  0.936  0.853  0.767  0.475  0.689   NS  -0.0309
dDocent_Contig_6669_71    2     2714  0.077  0.078  0.075  0.997  0.962  0.929  0.852  0.924   ND   0.0069
dDocent_Contig_6689_80    2     2701  0.169  0.165  0.151  0.986  0.924  0.866  0.711  0.845   NS  -0.0116
dDocent_Contig_6689_134    2     2690  0.152  0.158  0.145  0.988  0.927  0.871  0.722  0.852   NS   0.0168
dDocent_Contig_6722_49    2     2694  0.301  0.333  0.278  0.944  0.861  0.778  0.500  0.708   **   0.0501
dDocent_Contig_6722_110    2     2694  0.037  0.038  0.037  0.999  0.981  0.964  0.926  0.962   ND   0.0196
dDocent_Contig_6722_121    2     2694  0.471  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0302
dDocent_Contig_6926_26    2     2687  0.268  0.264  0.229  0.965  0.885  0.809  0.576  0.762   NS  -0.0069
dDocent_Contig_6926_64    2     2687  0.081  0.079  0.075  0.997  0.962  0.929  0.852  0.924   ND  -0.0163
dDocent_Contig_6926_73    2     2687  0.447  0.424  0.334  0.910  0.833  0.744  0.422  0.643   NS  -0.0264
dDocent_Contig_6926_75    2     2687  0.482  0.468  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0145
dDocent_Contig_6926_79    2     2687  0.482  0.468  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0145
dDocent_Contig_6926_80    2     2687  0.090  0.095  0.090  0.996  0.955  0.916  0.824  0.909   NS   0.0254
dDocent_Contig_6926_84    2     2687  0.201  0.196  0.177  0.981  0.911  0.846  0.665  0.818   NS  -0.0107
dDocent_Contig_6926_119    2     2684  0.003  0.003  0.003  1.000  0.998  0.997  0.993  0.997   ND  -0.0000
dDocent_Contig_6926_120    2     2684  0.003  0.003  0.003  1.000  0.998  0.997  0.993  0.997   ND  -0.0000
dDocent_Contig_6926_134    2     2684  0.490  0.487  0.369  0.881  0.816  0.723  0.382  0.602   NS  -0.0027
dDocent_Contig_7037_29    2     2747  0.057  0.057  0.055  0.998  0.973  0.947  0.892  0.945   ND  -0.0021
dDocent_Contig_7037_101    2     2747  0.463  0.464  0.356  0.892  0.822  0.730  0.395  0.617   NS   0.0008
dDocent_Contig_7072_24    2     2762  0.467  0.456  0.352  0.896  0.824  0.733  0.400  0.622   NS  -0.0121
dDocent_Contig_7079_12    2     2718  0.144  0.150  0.139  0.989  0.930  0.875  0.733  0.858   NS   0.0220
dDocent_Contig_7079_29    2     2718  0.081  0.085  0.082  0.996  0.959  0.923  0.840  0.917   NS   0.0246
dDocent_Contig_7079_33    2     2718  0.496  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0039
dDocent_Contig_7079_34    2     2718  0.496  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0039
dDocent_Contig_7079_44    2     2718  0.489  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0103
dDocent_Contig_7079_45    2     2718  0.204  0.223  0.198  0.975  0.901  0.831  0.629  0.796    *   0.0443
dDocent_Contig_7079_46    2     2718  0.011  0.011  0.011  1.000  0.995  0.989  0.978  0.989   ND  -0.0003
dDocent_Contig_7079_48    2     2718  0.027  0.029  0.029  1.000  0.986  0.972  0.943  0.971   ND   0.0313
dDocent_Contig_7079_50    2     2718  0.489  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0103
dDocent_Contig_7079_107    2     2718  0.399  0.398  0.319  0.921  0.841  0.753  0.442  0.661   NS  -0.0014
dDocent_Contig_7118_33    2     2723  0.474  0.458  0.353  0.895  0.824  0.732  0.399  0.621   NS  -0.0173
dDocent_Contig_7118_39    2     2723  0.473  0.458  0.353  0.895  0.824  0.732  0.399  0.621   NS  -0.0161
dDocent_Contig_7118_43    2     2723  0.038  0.037  0.036  0.999  0.982  0.965  0.928  0.963   ND  -0.0030
dDocent_Contig_7118_74    2     2723  0.504  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0042
dDocent_Contig_7118_127    2     2722  0.320  0.313  0.264  0.951  0.868  0.786  0.521  0.723   NS  -0.0104
dDocent_Contig_7118_136    2     2714  0.179  0.184  0.167  0.983  0.917  0.854  0.683  0.829   NS   0.0132
dDocent_Contig_7182_71    2     2739  0.117  0.118  0.111  0.993  0.945  0.898  0.785  0.887   NS   0.0037
dDocent_Contig_7182_73    2     2739  0.141  0.145  0.134  0.990  0.933  0.879  0.742  0.863   NS   0.0131
dDocent_Contig_7182_105    2     2739  0.402  0.399  0.319  0.921  0.840  0.752  0.441  0.661   NS  -0.0046
dDocent_Contig_7302_32    2     2709  0.898  0.495  0.372  0.878  0.814  0.720  0.378  0.597  ***  -0.2894
dDocent_Contig_7302_37    2     2709  0.887  0.494  0.372  0.878  0.814  0.721  0.378  0.598  ***  -0.2849
dDocent_Contig_7302_65    2     2709  0.991  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3291
dDocent_Contig_7414_7    2     2687  0.111  0.113  0.107  0.994  0.947  0.902  0.793  0.892   NS   0.0110
dDocent_Contig_7414_8    2     2687  0.408  0.407  0.324  0.917  0.838  0.750  0.435  0.655   NS  -0.0009
dDocent_Contig_7628_94    2     2689  0.510  0.499  0.374  0.876  0.813  0.719  0.376  0.594   NS  -0.0111
dDocent_Contig_7628_125    2     2689  0.163  0.160  0.147  0.987  0.927  0.869  0.719  0.850   NS  -0.0105
dDocent_Contig_7680_10    2     2729  0.345  0.355  0.292  0.937  0.854  0.769  0.479  0.693   NS   0.0139
dDocent_Contig_7680_22    2     2729  0.503  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0044
